titulo,Ano lançamento,Descrição,Nota,Diretor,Votos,Genero
342,Diários de um Vampiro,2009,"
The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",7.7,,"324,633","
Drama, Fantasy, Horror            "
343,Castle,2009,"
After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",8.1,,"164,055","
Comedy, Crime, Drama            "
344,This Is Us,2016,"
A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.",8.7,,"145,827","
Comedy, Drama, Romance            "
345,Dois Homens e Meio,2003,"
A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.",7.1,,"265,925","
Comedy, Romance            "
346,Bridgerton,2020,"
Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.",7.4,,"139,557","
Drama, History, Romance            "
347,Buffy: A Caça-Vampiros,1997,"
A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends.",8.3,,"148,877","
Action, Drama, Fantasy            "
348,O Amante de Lady Chatterley,2022,"
An unhappily married aristocrat begins a torrid affair with the gamekeeper on her husband's country estate.",6.6,Laure de Clermont-Tonnerre ,"14,167","
Drama, Romance            "
349,Scott Pilgrim Contra o Mundo,2010,"
In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",7.5,Edgar Wright ,"430,712","
Action, Comedy, Fantasy            "
350,Simplesmente Amor,2003,"
Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",7.6,Richard Curtis ,"499,039","
Comedy, Drama, Romance            "
351,Sex/Life,2021,"
A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.",5.4,,"21,983","
Comedy, Drama, Romance            "
352,Downton Abbey,2010,"
A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.",8.7,,"208,933","
Drama, Romance            "
353,A Pequena Sereia,2023,"
A young mermaid makes a deal with a sea witch, to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.",,Rob Marshall ,,"
Adventure, Family, Fantasy            "
354,Lobo Adolescente,2011,"
An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.",7.7,,"150,392","
Action, Drama, Fantasy            "
355,Um Homem Chamado Ove,2015,"
Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",7.7,Hannes Holm ,"58,297","
Comedy, Drama, Romance            "
356,Forrest Gump: O Contador de Histórias,1994,"
The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",8.8,Robert Zemeckis ,"2,085,926","
Drama, Romance            "
357,Bem-vindo aos 40,2012,"
Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",6.2,Judd Apatow ,"143,448","
Comedy, Drama, Romance            "
358,Era Uma Vez,2011,"
A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.",7.7,,"226,568","
Adventure, Fantasy, Romance            "
359,Gossip Girl: A Garota do Blog,2007,"
Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.",7.5,,"176,964","
Drama, Romance            "
360,Cidade Perdida,2022,"
A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.",6.1,"Aaron Nee, Adam Nee ","124,699","
Action, Adventure, Comedy            "
361,Alguém Que Eu Costumava Conhecer,2023,"
On a trip to her hometown, workaholic Ally reminisces with her ex Sean and starts to question everything about the person she's become. Things only get more confusing when she meets Cassidy, who reminds her of the person she used to be.",,Dave Franco ,,"
Comedy, Romance            "
362,O Lagosta,2015,"
In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods.",7.1,Yorgos Lanthimos ,"260,672","
Drama, Romance, Sci-Fi            "
363,Mulher Nota 1000,1985,"
Two high-school nerds use a computer program to literally create the perfect woman, who promptly turns their lives upside-down.",6.6,John Hughes ,"91,034","
Comedy, Romance, Sci-Fi            "
364,You People,2023,"
Follows a new couple and their families, who find themselves examining modern love and family dynamics amidst clashing cultures, societal expectations and generational differences.",,Kenya Barris ,,"
Comedy, Romance            "
365,Licorice Pizza,2021,"
The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.",7.2,Paul Thomas Anderson ,"118,981","
Comedy, Drama, Romance            "
366,Teen Wolf: O Filme,2023,"
A terrifying evil has emerged, the wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy.",,Russell Mulcahy ,,"
Action, Drama, Fantasy            "
367,Sex and the City,1998,"
Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.",7.3,,"128,713","
Comedy, Drama, Romance            "
368,Normal People,2020,"
Follows Marianne and Connell, from different backgrounds but the same small town in Ireland, as they weave in and out of each other's romantic lives.",8.4,,"69,051","
Drama, Romance            "
369,La La Land: Cantando Estações,2016,"
While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",8.0,Damien Chazelle ,"594,216","
Comedy, Drama, Music            "
370,Desencantada,2022,"
Fifteen years after her happily ever after, Giselle questions her happiness, inadvertently turning the lives of those in the real world and Andalasia upside down in the process.",5.6,Adam Shankman ,"19,851","
Animation, Adventure, Comedy            "
371,The Wedding Veil Expectations,2023,"
Avery and Peter try to keep the romance alive while renovating an old house and juggling work, but everything takes on a new perspective when Avery has a surprise for Peter.",6.7,Peter Benson ,427,"
Romance            "
372,Cinquenta Tons de Cinza,2015,"
Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",4.2,Sam Taylor-Johnson ,"322,422","
Drama, Romance, Thriller            "
373,Adoráveis Mulheres,2019,"
Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",7.8,Greta Gerwig ,"209,545","
Drama, Romance            "
374,Maldosas,2010,"
Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend.",7.4,,"169,140","
Drama, Mystery, Romance            "
375,Pam & Tommy,2022,"
Follows the story of Pamela Anderson and Tommy Lee's relationship, going back to their whirlwind romance that started with them marrying after only knowing each other for 96 hours in 1995.",7.3,,"34,800","
Biography, Drama, Romance            "
376,Riverdale,2017,"
While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",6.6,,"146,551","
Crime, Drama, Mystery            "
377,A Pior Pessoa do Mundo,2021,"
The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",7.8,Joachim Trier ,"71,555","
Comedy, Drama, Romance            "
378,O Bom Lugar,2016,"
Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.",8.2,,"163,454","
Comedy, Drama, Fantasy            "
379,Doc Martin,2004,"
The trials and tribulations of Martin Ellingham, a brilliant but socially challenged doctor who moves from London to the picturesque village of Port Wenn in Cornwall.",8.4,,"17,387","
Comedy, Drama, Romance            "
380,Spartacus,2010,"
The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",8.5,,"244,125","
Action, Adventure, Biography            "
381,Os Sonhadores,2003,"
A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister. Set against the background of the '68 Paris student riots.",7.1,Bernardo Bertolucci ,"123,707","
Drama, Romance            "
382,Hotel Desire,2011,"
A young single mother drops her son of at the bus stop to visit his dad in Paris. After being late for work, she almost gets fired. At the end of her duties she gets into a tricky situation which she handles, with the advice her colleague gave her.",5.6,Sergej Moya ,"3,588","
Short, Drama, Romance            "
383,O.C.: Um Estranho no Paraíso,2003,"
A troubled youth becomes embroiled in the lives of a close-knit group of people in the wealthy, upper-class neighborhood of Newport Beach, Orange County, California.",7.5,,"90,837","
Comedy, Drama, Romance            "
384,Esposa de Mentirinha,2011,"
On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.",6.4,Dennis Dugan ,"247,962","
Comedy, Romance            "
385,Closer: Perto Demais,2004,"
The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.",7.2,Mike Nichols ,"222,670","
Drama, Romance            "
386,Jerry Maguire - A Grande Virada,1996,"
When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague.",7.3,Cameron Crowe ,"270,053","
Comedy, Drama, Romance            "
387,Miraculous: As Aventuras de Ladybug,2015,"
Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.",7.6,,"12,098","
Animation, Action, Adventure            "
388,Blackbird,(202,"
Troubled secret agent ""Blackbird"" abruptly retires from service and opens a luxurious nightclub in the Caribbean to escape the dark shadows of his past. An old flame arrives and reignites love in his life but she brings danger with her.",3.2,Michael Flatley ,365,"
Action, Romance, Thriller            "
389,Brilho Eterno de uma Mente sem Lembranças,2004,"
When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",8.3,Michel Gondry ,"1,012,326","
Drama, Romance, Sci-Fi            "
390,Podres de Ricos,2018,"
This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",6.9,Jon M. Chu ,"175,168","
Comedy, Drama, Romance            "
391,Império dos Discos - Uma Loja Muito Louca,1995,"
Twenty-four hours in the lives of the young employees at Empire Records when they all grow up and become young adults thanks to each other and the manager. They all face the store joining a chain store with strict rules.",6.7,Allan Moyle ,"57,145","
Comedy, Drama, Music            "
392,Casa Comigo?,2010,"
Anna Brady plans to travel to Dublin, Ireland to propose to her boyfriend Jeremy on February 29, leap day, because, according to Irish tradition, a man who receives a marriage proposal on a leap day must accept it.",6.4,Anand Tucker ,"105,969","
Comedy, Romance            "
393,Desperate Housewives,2004,"
Secrets and truths unfold through the lives of female friends in one suburban neighborhood after the mysterious suicide of a neighbor.",7.6,,"130,458","
Comedy, Drama, Mystery            "
394,A Crônica Francesa,2020,"
A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".",7.1,Wes Anderson ,"125,121","
Comedy, Drama, Romance            "
395,About Fate,2022,"
The romantic comedy is a tale of two people who believe in love, but seem to never be able to find its true meaning. In a wild twist of events, fate puts each in the other's path on a stormy New Year's Eve and comedy and chaos ensue.",6.3,Marius Vaysberg ,"6,175","
Comedy, Romance            "
396,Era Uma Vez um Gênio,2022,"
A lonely scholar, on a trip to Istanbul, discovers a Djinn who offers her three wishes in exchange for his freedom.",6.7,George Miller ,"35,968","
Drama, Fantasy, Romance            "
397,Passageiros,2016,"
A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.",7.0,Morten Tyldum ,"410,633","
Drama, Romance, Sci-Fi            "
398,A Descoberta das Bruxas,2018,"
Diana Bishop, historian and witch, accesses Ashmole 782 and knows she must solve its mysteries. She is offered help by the enigmatic Matthew Clairmont, but he's a vampire and witches should never trust vampires.",7.9,,"54,160","
Drama, Fantasy, Romance            "
399,A Princesa Prometida,1987,"
While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",8.0,Rob Reiner ,"430,355","
Adventure, Family, Fantasy            "
400,Avatar: O Caminho da Água,2022,"
Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",7.9,James Cameron ,"239,678","
Action, Adventure, Fantasy            "
401,Caleidoscópio,2023,"
Centered around the largest heist ever attempted, the vengeance and betrayals that surround it.",6.8,,"21,614","
Action, Crime, Drama            "
402,The Last of Us,2023,"
Joel and Ellie, a pair connected through the harshness of the world they live in, are forced to endure brutal circumstances and ruthless killers on a trek across post-pandemic America.",9.4,,"47,721","
Action, Adventure, Drama            "
403,Tudo em Todo Lugar ao Mesmo Tempo,2022,"
A middle-aged Chinese immigrant is swept up in an insane adventure in which she alone can save existence by exploring other universes connecting with the lives she could have led.",8.0,"Dan Kwan, Daniel Scheinert ","287,667","
Action, Adventure, Comedy            "
404,Jack Ryan,2018,"
Up-and-coming CIA analyst, Jack Ryan, is thrust into dangerous field assignments.",8.0,,"137,859","
Action, Drama, Thriller            "
405,Homem-Formiga e a Vespa: Quantumania,2023,"
Scott Lang and Hope Van Dyne, along with Hank Pym and Janet Van Dyne, explore the Quantum Realm, where they interact with strange creatures and embark on an adventure that goes beyond the limits of what they thought was possible.",,Peyton Reed ,,"
Action, Adventure, Comedy            "
406,Willow,2022,"
20 years after vanquishing the wicked queen Bavmorda, the sorcerer Willow Ufgood leads a group of misfits on a dangerous rescue mission into the unknown.",5.5,,"22,934","
Action, Adventure, Drama            "
407,Vikings: Valhalla,2022,"
Follow-up series to 'Vikings' set 100 years afterward and centering on the adventures of Leif Erikson, Freydis, Harald Hardrada and the Norman King William the Conqueror.",7.2,,"43,274","
Action, Adventure, Drama            "
408,Game of Thrones,2011,"
Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",9.2,,"2,108,585","
Action, Adventure, Drama            "
409,Avatar,2009,"
A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.",7.9,James Cameron ,"1,304,591","
Action, Adventure, Fantasy            "
410,Alice in Borderland,2020,"
A group of bored delinquents are transported to a parallel dimension as part of a survival game.",7.7,,"70,199","
Action, Drama, Mystery            "
411,Trem-Bala,2022,"
Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.",7.3,David Leitch ,"265,138","
Action, Comedy, Thriller            "
412,Top Gun: Maverick,2022,"
After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",8.3,Joseph Kosinski ,"496,214","
Action, Drama            "
413,Irmãos de Honra,(202,"
A pair of U.S. Navy fighter pilots risk their lives during the Korean War and become some of the Navy's most celebrated wingmen.",6.7,J.D. Dillard ,"8,001","
Action, Drama, War            "
414,A Casa do Dragão,2022,"
An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.",8.5,,"294,281","
Action, Adventure, Drama            "
415,Recruta,2022,"
Follows a lawyer at the CIA who gets entangled in dangerous international power politics when a former asset threatens to expose the nature of her long-term relationship with the agency.",7.5,,"24,393","
Action, Adventure, Crime            "
416,Andor,2022,"
Prequel series to Star Wars' 'Rogue One'. In an era filled with danger, deception and intrigue, Cassian will embark on the path that is destined to turn him into a Rebel hero.",8.4,,"110,214","
Action, Adventure, Drama            "
417,Esquema de Risco - Operação Fortune,2023,"
Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.",6.7,Guy Ritchie ,"6,290","
Action, Comedy, Thriller            "
418,Traição,2022,"
Adam Lawrence was trained and groomed by MI6; his career seems set. When the past catches up with him in the form of Kara, a Russian spy with whom he shares a complicated past, he is forced to question everything and everyone in his life.",6.3,,"12,291","
Action, Drama, Thriller            "
419,The Witcher: Origem do Sangue,2022,"
More than a thousand years before the events of ""The Witcher,"" seven outcasts in an Elven world join forces in a quest against an all-powerful empire.",4.6,,"33,291","
Action, Adventure, Drama            "
420,The Boys,2019,"
A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.",8.7,,"513,624","
Action, Comedy, Crime            "
421,Jurassic World Domínio,2022,"
Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",5.6,Colin Trevorrow ,"162,944","
Action, Adventure, Sci-Fi            "
422,NCIS: Investigações Criminais,2003,"
The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team.",7.8,,"149,566","
Action, Crime, Drama            "
423,Alerta Máximo,2023,"
A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.",7.0,Jean-François Richet ,"2,170","
Action, Thriller            "
424,A Lenda do Tesouro Perdido: No Limiar da História,2022,"
Jess Valenzuela, a 20-year-old Dreamer, sets off on an exploration to discover the mystery of her family history, and, with the help of her friends, seeks to recover historical lost treasure.",5.1,,"5,678","
Action, Adventure, Mystery            "
425,Top Gun: Ases Indomáveis,1986,"
As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",6.9,Tony Scott ,"453,369","
Action, Drama            "
426,Pantera Negra: Wakanda para Sempre,2022,"
The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.",7.2,Ryan Coogler ,"138,338","
Action, Adventure, Drama            "
427,"RRR: Revolta, Rebelião, Revolução",2022,"
A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.",7.9,S.S. Rajamouli ,"127,427","
Action, Drama            "
428,The Rookie,2018,"
Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.",8.0,,"41,918","
Action, Crime, Drama            "
429,Adão Negro,2022,"
Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",6.4,Jaume Collet-Serra ,"208,306","
Action, Adventure, Fantasy            "
430,The Witcher,2019,"
Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",8.1,,"501,250","
Action, Adventure, Drama            "
431,Mundo Estranho,2022,"
The legendary Clades are a family of explorers whose differences threaten to topple their latest and most crucial mission.",5.6,"Don Hall, Qui Nguyen ","30,272","
Animation, Action, Adventure            "
432,Vikings,2013,"
Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.",8.5,,"536,696","
Action, Adventure, Drama            "
433,O Homem do Norte,2022,"
A young Viking prince is on a quest to avenge his father's murder.",7.1,Robert Eggers ,"209,696","
Action, Adventure, Drama            "
434,Batman,2022,"
When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",7.8,Matt Reeves ,"656,923","
Action, Crime, Drama            "
435,O Senhor dos Anéis: Os Anéis de Poder,2022,"
Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth.",6.9,,"313,101","
Action, Adventure, Drama            "
436,Star Wars: The Bad Batch,2021,"
The 'Bad Batch' of elite and experimental clones make their way through an ever-changing galaxy in the immediate aftermath of the Clone Wars.",7.8,,"36,656","
Animation, Action, Adventure            "
437,The Old Way,2023,"
An old gunslinger and his daughter must face the consequences of his past, when the son of a man he murdered years ago arrives to take his revenge.",5.4,Brett Donowho ,"1,385","
Action, Western            "
438,Nada de Novo no Front,2022,"
A young German soldier's terrifying experiences and distress on the western front during World War I.",7.8,Edward Berger ,"106,060","
Action, Drama, War            "
439,Echo 3,2022,"
When Amber Chesborough goes missing along the Colombia-Venezuela border, her brother and her husband struggle to find her against the backdrop of a secret war.",6.5,,"5,167","
Action, Drama, Thriller            "
440,Noite Infeliz,2022,"
When a group of mercenaries attack the estate of a wealthy family, Santa Claus must step in to save the day (and Christmas).",6.8,Tommy Wirkola ,"52,957","
Action, Comedy, Crime            "
441,Casamento Armado,2022,"
A couple's extravagant destination wedding is hijacked by criminals. In the process of saving their families, they rediscover why they fell in love in the first place.",6.0,Jason Moore ,"1,008","
Action, Comedy, Romance            "
442,Patrulha do Destino,2019,"
The adventures of an idealistic mad scientist and his field team of superpowered outcasts.",7.8,,"54,161","
Action, Adventure, Comedy            "
443,O Mandaloriano,2019,"
The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",8.7,,"486,743","
Action, Adventure, Fantasy            "
444,Willow: Na Terra da Magia,1988,"
A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.",7.2,Ron Howard ,"124,163","
Action, Adventure, Drama            "
445,Koala Man,2023,"
Follows a family father who lives a not-so-secret identity as the titular hero who possesses a burning passion to snuff out petty crime.",6.9,,764,"
Animation, Action, Adventure            "
446,NCIS: Los Angeles,2009,"
The Naval Criminal Investigation Service's Office of Special Projects takes on the undercover work and the hard to crack cases in LA. Key agents are G. Callen and Sam Hanna, streets kids risen through the ranks.",6.8,,"54,351","
Action, Crime, Drama            "
447,Attack on Titan,2013,"
After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",9.0,,"377,165","
Animation, Action, Adventure            "
448,O Último Reino,2015,"
As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright.",8.5,,"142,713","
Action, Drama, History            "
449,Nossa Bandeira É a Morte,2022,"
The year is 1717. Wealthy landowner Stede Bonnet has a midlife crisis and decides to blow up his cushy life to become a pirate. It does not go well. Based on a true story.",7.8,,"27,598","
Action, Adventure, Biography            "
450,Vinland Saga,2019,"
Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.",8.8,,"41,380","
Animation, Action, Adventure            "
451,Indiana Jones e o Chamado do Destino,2023,"
The plot is unknown at this time.",,James Mangold ,,"
Action, Adventure            "
452,Reacher,2022,"
Jack Reacher was arrested for murder and now the police need his help. Based on the books by Lee Child.",8.1,,"127,610","
Action, Crime, Drama            "
453,NCIS: Hawai'i,2021,"
Follow a team of Naval criminal investigators who operate on the Hawaiian islands.",6.5,,"6,493","
Action, Crime, Mystery            "
454,Chicago Fire: Heróis Contra o Fogo,2012,"
The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level.",8.0,,"58,445","
Action, Drama            "
455,Flash,2014,"
After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City.",7.6,,"348,057","
Action, Adventure, Drama            "
456,A Mulher Rei,2022,"
A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.",6.7,Gina Prince-Bythewood ,"44,770","
Action, Drama, History            "
457,Duna,2021,"
A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.",8.0,Denis Villeneuve ,"640,759","
Action, Adventure, Drama            "
458,One Piece,1999,"
Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".",8.9,,"128,521","
Animation, Action, Adventure            "
459,Chainsaw Man,2022,"
Following a betrayal, a young man left for the dead is reborn as a powerful devil-human hybrid after merging with his pet devil and is soon enlisted into an organization dedicated to hunting devils.",8.6,,"24,125","
Animation, Action, Adventure            "
460,De Volta ao Jogo,2014,"
An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took his car.",7.4,"Chad Stahelski, David Leitch ","638,437","
Action, Crime, Thriller            "
461,Thor: Amor e Trovão,2022,"
Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",6.3,Taika Waititi ,"335,923","
Action, Adventure, Comedy            "
462,Varisu,2023,"
Vijay Rajendran is a happy to-go lucky man. Things change when his foster father dies unexpectedly.",7.0,Vamshi Paidipally ,"25,273","
Action, Drama            "
463,Chicago P.D.: Distrito 21,2014,"
Follows District 21 of the Chicago Police Department, made up of two different groups: the uniformed cops and the Intelligence Unit.",8.1,,"39,434","
Action, Crime, Drama            "
464,Homem-Aranha: Sem Volta para Casa,2021,"
With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",8.2,Jon Watts ,"760,749","
Action, Adventure, Fantasy            "
465,Batman: O Cavaleiro das Trevas,2008,"
When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9.0,Christopher Nolan ,"2,660,581","
Action, Crime, Drama            "
466,Outer Banks,2020,"
A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long-buried secret.",7.6,,"52,172","
Action, Crime, Drama            "
467,Alquimia das Almas,2022,"
The fate of two people becomes twisted due to the magic when the souls of the dead return to the living.",8.8,,"7,760","
Action, Drama, Fantasy            "
468,Titãs,2018,"
A team of young superheroes combat evil and other perils.",7.6,,"102,804","
Action, Adventure, Crime            "
469,The Expendables 4,2023,"
The Expendables will square up against: an arms dealer who commands the might of a massive private army.",,Scott Waugh ,,"
Action, Adventure, Thriller            "
470,9-1-1,2018,"
Explores the high-pressure experiences of the first responders who are thrust into the most frightening, shocking, and heart-stopping situations.",7.8,,"35,414","
Action, Drama, Thriller            "
471,Agente Oculto,2022,"
When the CIA's most skilled operative, whose true identity is known to none, accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.",6.5,"Anthony Russo, Joe Russo ","202,808","
Action, Thriller            "
472,S.W.A.T.,2017,"
Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.",7.1,,"24,774","
Action, Adventure, Crime            "
473,007: Sem Tempo para Morrer,2021,"
James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",7.3,Cary Joji Fukunaga ,"405,779","
Action, Adventure, Thriller            "
474,Fogo Contra Fogo,1995,"
A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.",8.3,Michael Mann ,"659,101","
Action, Crime, Drama            "
475,O Peso do Talento,2022,"
In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).",7.0,Tom Gormican ,"92,758","
Action, Comedy, Crime            "
476,FBI,2018,"
Procedural drama about the inner workings of the New York office of the Federal Bureau of Investigation.",7.0,,"18,721","
Action, Crime, Drama            "
477,Heróis desonestos do SAS,2022,"
SAS: Rogue Heroes charts the creation of the famed Special Forces unit. Based on the book by Ben Macintyre.",8.2,,"13,339","
Action, Drama, Thriller            "
478,Indiana Jones e o Templo da Perdição,1984,"
A skirmish in Shanghai puts archaeologist Indiana Jones, his partner Short Round and singer Willie Scott crossing paths with an Indian village desperate to reclaim a rock stolen by a secret cult beneath the catacombs of an ancient palace.",7.5,Steven Spielberg ,"492,762","
Action, Adventure            "
479,Emancipation - Uma História de Liberdade,2022,"
A runaway slave forges through the swamps of Louisiana on a tortuous journey to escape plantation owners that nearly killed him.",6.0,Antoine Fuqua ,"18,164","
Action, Thriller            "
